region;provincia;distrito;ciudad;subdivision;unidad;edad;marital;direcc;ingres;ingcat;coche;cochecat;educ;empleo;retirado;empcat;satlab;genero;residen;inalam;multline;voz;busca;internet;idllam;espera;tv;video;cd;pda;pc;fax;noticias;respuest;ProbabilidadIncl_1_;ProbabilidadIncl_2_;PonderacMuestral_Final_
1;2;7;190;946;94531;19;0;0;18;1;9;1;2;0;0;1;1;0;3;0;0;0;0;0;1;0;1;1;1;0;0;0;1;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94534;37;1;12;39;2;19.4;1;1;7;0;2;2;0;2;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94538;18;1;0;14;1;7;1;2;0;0;1;2;1;4;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94555;59;1;16;38;2;18.7;1;3;13;0;2;5;1;3;0;1;0;0;0;0;1;1;1;1;0;1;0;0;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94557;44;0;10;157;4;78.9;3;4;11;0;2;4;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94558;33;1;3;35;2;17.1;1;4;2;0;1;2;1;3;1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94564;75;1;21;31;2;15.1;1;2;31;0;3;5;1;2;0;1;1;0;0;0;1;1;1;1;0;1;0;0;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94580;45;0;12;57;3;28.1;2;2;10;0;2;3;0;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;947;94603;31;1;8;22;1;11;1;4;2;0;1;2;1;4;1;1;1;1;0;0;0;1;1;1;1;1;0;0;1;.195121951219512;256.25;256.25
1;2;7;190;947;94605;40;1;11;53;3;25.3;2;4;4;0;1;2;1;2;1;1;0;1;1;0;1;1;1;1;0;1;0;0;1;.195121951219512;256.25;256.25
1;2;7;190;947;94612;41;1;14;73;3;35.8;2;5;4;0;1;3;1;2;1;0;1;0;1;1;0;1;1;1;0;1;0;1;1;.195121951219512;256.25;256.25
1;2;7;190;947;94618;53;1;13;49;2;24;1;1;15;0;3;2;0;5;0;1;0;1;0;0;0;1;1;1;0;1;0;0;1;.195121951219512;256.25;256.25
1;2;7;190;947;94620;36;0;5;79;4;38.9;2;3;5;0;2;2;1;1;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;.195121951219512;256.25;256.25
1;2;7;190;947;94624;34;1;6;45;2;22.7;1;2;3;0;1;4;1;4;1;0;1;1;0;0;1;1;1;1;1;0;1;1;1;.195121951219512;256.25;256.25
1;2;7;190;947;94631;41;1;6;52;3;26.1;2;1;10;0;2;4;1;3;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;.195121951219512;256.25;256.25
1;2;7;190;947;94644;66;0;24;12;1;5.7;1;1;21;1;3;3;1;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;.195121951219512;256.25;256.25
1;2;7;190;947;94645;38;0;8;33;2;16;1;1;13;0;2;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;.195121951219512;256.25;256.25
1;2;7;190;947;94646;32;0;5;27;2;13.4;1;1;5;0;2;3;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;.195121951219512;256.25;256.25
1;2;7;190;947;94647;23;1;1;22;1;11.2;1;3;1;0;1;1;1;5;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;.195121951219512;256.25;256.25
1;2;7;190;947;94653;47;1;16;80;4;38.7;2;4;11;0;2;2;1;5;0;0;0;0;1;0;0;1;1;1;0;0;0;1;1;.195121951219512;256.25;256.25
1;2;7;190;947;94658;64;0;27;9;1;4.5;1;1;25;1;3;5;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;1;.195121951219512;256.25;256.25
1;2;7;190;947;94659;21;1;1;31;2;15.4;1;2;0;0;1;2;1;3;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;.195121951219512;256.25;256.25
1;2;7;190;947;94663;22;0;1;24;1;11.8;1;4;0;0;1;2;1;1;0;1;1;0;1;0;0;1;1;1;0;1;0;0;1;.195121951219512;256.25;256.25
1;2;7;190;947;94664;40;1;5;17;1;8.5;1;4;3;0;1;3;1;3;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;.195121951219512;256.25;256.25
1;2;7;192;956;95503;54;1;17;85;4;43.1;2;1;18;0;3;3;0;4;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;.203703703703704;245.454.545.454.545;245.454.545.454.545
1;2;7;192;956;95504;18;1;0;13;1;6.4;1;1;1;0;1;3;0;5;0;0;0;0;0;1;0;1;1;1;0;0;0;1;1;.203703703703704;245.454.545.454.545;245.454.545.454.545
1;2;7;192;956;95508;39;1;11;66;3;33.4;2;4;7;0;2;5;1;4;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;.203703703703704;245.454.545.454.545;245.454.545.454.545
1;2;7;192;956;95509;28;0;3;42;2;20.5;1;4;1;0;1;4;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;.203703703703704;245.454.545.454.545;245.454.545.454.545
1;2;7;192;956;95514;21;1;1;17;1;8.4;1;3;0;0;1;1;1;5;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1;.203703703703704;245.454.545.454.545;245.454.545.454.545
1;2;7;192;956;95534;39;0;7;38;2;18.7;1;3;6;0;2;4;0;1;1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;.203703703703704;245.454.545.454.545;245.454.545.454.545
1;2;7;192;956;95536;21;0;1;23;1;11.2;1;3;0;0;1;2;0;2;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;.203703703703704;245.454.545.454.545;245.454.545.454.545
1;2;7;192;956;95540;50;0;19;32;2;15.5;1;3;16;0;3;5;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;.203703703703704;245.454.545.454.545;245.454.545.454.545
1;2;7;192;956;95543;40;1;4;138;4;67.9;3;3;9;0;2;5;1;3;1;1;1;0;0;0;0;1;1;1;1;1;1;0;1;.203703703703704;245.454.545.454.545;245.454.545.454.545
1;2;7;192;956;95548;23;0;2;25;2;12.4;1;4;0;0;1;1;1;4;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;.203703703703704;245.454.545.454.545;245.454.545.454.545
1;2;7;192;956;95552;18;0;0;14;1;7.1;1;2;0;0;1;1;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;1;1;.203703703703704;245.454.545.454.545;245.454.545.454.545
1;2;7;192;957;95603;54;0;8;95;4;47.7;2;3;12;0;2;4;1;1;0;0;1;0;0;1;1;1;1;1;0;0;0;1;1;.197530864197531;253.125;253.125
1;2;7;192;957;95607;36;0;8;33;2;16.1;1;3;6;0;2;1;0;3;1;0;1;0;1;0;0;1;1;1;0;1;0;1;1;.197530864197531;253.125;253.125
1;2;7;192;957;95613;52;1;20;50;3;24.6;1;1;18;0;3;4;0;3;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;.197530864197531;253.125;253.125
1;2;7;192;957;95620;61;1;23;44;2;21.4;1;3;12;0;2;3;0;2;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;.197530864197531;253.125;253.125
1;2;7;192;957;95623;74;0;29;45;2;22.7;1;2;16;1;3;4;0;1;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;.197530864197531;253.125;253.125
1;2;7;192;957;95632;71;1;21;57;3;28.7;2;3;22;0;3;3;1;2;0;0;1;0;0;0;1;1;1;1;0;0;0;1;1;.197530864197531;253.125;253.125
1;2;7;192;957;95633;80;1;28;20;1;10;1;4;29;1;3;4;1;2;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;.197530864197531;253.125;253.125
1;2;7;192;957;95637;57;0;25;37;2;18.2;1;3;8;1;2;2;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;.197530864197531;253.125;253.125
1;2;7;192;957;95639;75;0;32;11;1;5.5;1;2;16;1;3;5;0;1;0;1;1;1;0;0;0;1;1;1;0;0;0;0;1;.197530864197531;253.125;253.125
1;2;7;192;957;95646;79;0;28;10;1;4.8;1;1;22;1;3;5;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;.197530864197531;253.125;253.125
1;2;7;192;957;95651;49;0;18;52;3;26.3;2;2;12;0;2;4;1;1;0;0;1;0;0;1;1;1;1;1;0;1;0;1;1;.197530864197531;253.125;253.125
1;2;7;192;957;95655;20;0;0;44;2;21.4;1;2;1;0;1;4;1;3;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;.197530864197531;253.125;253.125
1;2;7;192;957;95656;43;0;11;149;4;73.8;3;4;8;0;2;3;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;.197530864197531;253.125;253.125
1;2;7;192;957;95657;39;1;10;31;2;15.4;1;2;4;0;1;2;1;4;1;1;0;0;0;0;1;1;1;1;1;1;0;1;1;.197530864197531;253.125;253.125
1;2;7;192;957;95668;45;1;15;43;2;21.5;1;5;6;0;2;2;1;4;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;.197530864197531;253.125;253.125
1;2;7;192;957;95672;26;0;2;20;1;9.8;1;5;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;.197530864197531;253.125;253.125
1;2;8;219;1091;109003;63;1;19;16;1;8;1;1;12;1;2;4;1;2;1;0;0;0;0;1;0;1;1;1;0;1;0;1;1;.2;250;250
1;2;8;219;1091;109004;31;1;4;91;4;46.4;2;2;1;0;1;1;1;2;0;0;1;0;0;1;0;1;1;1;0;1;0;0;0;.2;250;250
1;2;8;219;1091;109006;31;1;4;46;2;23.6;1;1;5;0;2;3;1;2;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;.2;250;250
1;2;8;219;1091;109010;20;0;1;20;1;9.6;1;3;0;0;1;1;0;1;1;1;1;0;1;0;0;1;1;1;0;1;1;0;1;.2;250;250
1;2;8;219;1091;109016;22;1;1;34;2;17.3;1;2;1;0;1;3;1;4;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;.2;250;250
1;2;8;219;1091;109020;24;0;2;26;2;12.8;1;1;3;0;1;5;0;3;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;.2;250;250
1;2;8;219;1091;109022;47;0;15;82;4;41.7;2;4;5;0;2;4;0;3;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;.2;250;250
1;2;8;219;1091;109036;35;0;7;32;2;16.2;1;3;4;0;1;2;0;4;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;.2;250;250
1;2;8;219;1091;109038;36;1;7;44;2;22.8;1;4;3;0;1;4;1;4;1;0;1;1;0;1;1;1;1;1;1;0;1;0;1;.2;250;250
1;2;8;219;1091;109041;58;1;18;52;3;25.7;2;2;19;0;3;3;0;2;0;1;1;0;0;1;1;1;1;1;0;0;1;0;0;.2;250;250
1;2;8;219;1091;109044;35;0;10;68;3;33.8;2;4;1;0;1;3;0;3;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;.2;250;250
1;2;8;219;1091;109055;71;0;33;11;1;5.6;1;4;12;1;2;5;0;1;0;1;1;1;0;0;0;1;1;1;0;1;0;0;1;.2;250;250
1;2;8;219;1092;109107;25;0;3;37;2;18.8;1;4;0;0;1;1;1;5;0;0;0;0;0;1;0;1;1;1;0;1;0;1;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1092;109108;22;1;1;18;1;9;1;1;2;0;1;2;1;2;1;1;0;0;1;0;0;1;1;1;0;0;1;0;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1092;109109;34;1;7;29;2;14.3;1;4;4;0;1;2;1;2;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1092;109116;30;0;4;33;2;16.1;1;3;3;0;1;1;0;1;0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1092;109120;18;0;0;20;1;9.9;1;2;0;0;1;5;1;3;1;1;0;0;1;0;0;0;0;1;0;1;0;1;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1092;109124;50;0;17;58;3;28.5;2;1;11;0;2;3;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;1;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1092;109129;34;1;5;19;1;9.6;1;2;6;0;2;2;1;3;0;0;1;0;1;0;1;1;1;1;0;1;0;1;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1092;109132;26;1;2;22;1;11.2;1;2;0;0;1;1;0;3;0;0;0;1;0;0;1;1;1;1;0;0;0;1;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1092;109133;24;1;3;19;1;9.6;1;4;0;0;1;2;1;4;0;0;0;1;0;0;0;1;1;1;0;1;0;1;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1092;109148;22;1;1;26;2;13;1;4;0;0;1;1;1;6;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1092;109149;23;1;3;49;2;24.7;1;4;0;0;1;2;0;5;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1093;109206;38;1;10;49;2;24.3;1;1;5;0;2;4;0;5;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;.19047619047619;262.5;262.5
1;2;8;219;1093;109208;44;1;8;62;3;30.1;2;2;13;0;2;4;0;2;0;1;1;1;0;1;0;1;1;1;0;0;0;0;1;.19047619047619;262.5;262.5
1;2;8;219;1093;109211;46;1;11;101;4;50.4;3;4;6;0;2;1;0;5;1;1;0;1;0;0;0;1;1;1;1;1;0;0;1;.19047619047619;262.5;262.5
1;2;8;219;1093;109212;27;0;3;24;1;12.4;1;1;4;0;1;2;1;5;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;.19047619047619;262.5;262.5
1;2;8;219;1094;109302;20;1;0;19;1;9.5;1;2;0;0;1;1;0;8;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1094;109310;29;0;5;28;2;13.7;1;3;4;0;1;4;1;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1094;109313;28;1;3;38;2;18.9;1;4;1;0;1;2;1;4;0;0;1;0;0;1;1;1;1;1;0;0;0;1;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1094;109316;31;1;4;29;2;14.5;1;4;4;0;1;1;1;3;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1094;109320;72;1;13;13;1;6.4;1;1;25;1;3;4;1;2;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1094;109332;30;0;5;55;3;27.5;2;4;4;0;1;2;0;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1094;109339;46;0;19;72;3;36.1;2;1;12;0;2;4;1;2;0;0;1;1;1;1;0;1;1;1;0;0;0;0;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1094;109340;65;1;25;18;1;9.2;1;3;10;1;2;5;0;2;0;1;1;0;0;0;0;1;1;1;0;1;0;0;0;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1094;109342;65;0;16;11;1;5.3;1;1;24;1;3;3;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1094;109345;29;0;3;36;2;18.5;1;3;3;0;1;1;1;3;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;219;1094;109348;21;1;0;35;2;17.1;1;3;0;0;1;1;1;4;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;.207547169811321;240.909.090.909.091;240.909.090.909.091
1;2;8;229;1141;114005;18;0;0;35;2;16.9;1;2;0;0;1;2;0;3;0;0;0;0;0;1;0;1;1;1;0;0;0;1;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114009;28;1;2;37;2;17.9;1;1;4;0;1;1;1;3;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114014;22;1;2;45;2;23;1;2;2;0;1;1;1;11;0;0;1;0;0;1;1;1;1;1;0;0;0;1;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114015;21;1;1;23;1;11.2;1;3;0;0;1;2;1;7;1;0;0;0;1;1;0;1;0;1;0;1;1;1;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114017;19;0;0;40;2;19.1;1;2;0;0;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114018;22;0;1;49;2;24.8;1;2;1;0;1;4;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114028;25;0;3;23;1;11.6;1;4;0;0;1;2;0;3;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114034;31;1;4;42;2;20.5;1;2;4;0;1;4;1;3;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114035;19;1;0;20;1;9.5;1;2;0;0;1;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114042;38;0;8;53;3;26.5;2;3;5;0;2;4;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114048;35;1;10;45;2;23.6;1;4;2;0;1;2;0;2;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114056;22;1;1;22;1;11.2;1;2;1;0;1;1;1;3;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114064;25;0;3;38;2;19.3;1;3;1;0;1;2;1;3;1;0;1;0;1;1;1;1;1;1;0;0;0;1;0;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1141;114069;20;0;1;24;1;11.6;1;3;0;0;1;4;0;1;0;1;0;0;1;0;1;1;1;1;0;0;0;1;1;.202898550724638;246.428.571.428.571;246.428.571.428.571
1;2;8;229;1142;114102;25;1;2;17;1;8.6;1;2;2;0;1;4;1;4;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114105;68;1;20;24;1;12.2;1;2;16;1;3;3;1;2;1;1;0;0;1;1;1;1;1;1;1;0;0;0;1;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114107;61;0;9;33;2;17;1;2;9;0;2;4;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;1;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114112;66;0;19;13;1;6.5;1;1;22;1;3;3;1;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;0;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114118;72;1;27;9;1;4.5;1;1;22;1;3;5;1;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114121;64;0;11;11;1;5.6;1;1;13;1;2;3;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114122;67;1;20;23;1;11.1;1;1;7;0;2;3;1;2;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114130;25;0;3;14;1;6.9;1;4;1;0;1;3;0;2;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114131;60;1;11;52;3;25.7;2;2;18;0;3;2;1;4;0;1;1;1;0;0;0;1;1;1;0;1;1;0;1;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114132;49;0;14;23;1;11.3;1;3;7;0;2;2;1;2;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114144;54;0;7;61;3;30.8;2;2;17;0;3;5;1;1;0;1;0;0;1;0;1;1;1;1;1;1;1;0;1;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114146;78;0;22;9;1;4.4;1;5;23;1;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;8;229;1142;114157;58;1;13;96;4;46.9;2;4;10;0;2;1;1;2;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;.194029850746269;257.692.307.692.308;257.692.307.692.308
1;2;9;251;1251;125003;22;1;1;23;1;11.6;1;2;1;0;1;4;0;3;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125004;33;1;6;105;4;50.7;3;5;3;0;1;1;1;4;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125005;35;0;4;93;4;44.8;2;4;5;0;2;3;1;2;1;0;0;0;1;0;1;1;1;1;0;0;0;1;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125012;33;1;7;23;1;11.2;1;1;9;0;2;4;1;7;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125020;31;1;6;34;2;16.4;1;1;8;0;2;2;0;4;0;0;0;0;0;1;0;1;1;1;0;0;0;1;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125023;50;1;13;59;3;29.9;2;2;15;0;3;4;0;2;1;0;0;0;0;1;1;1;1;1;0;0;0;1;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125024;62;1;24;134;4;66.8;3;2;19;0;3;5;1;2;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125036;27;0;2;24;1;11.7;1;1;4;0;1;2;0;2;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125038;31;0;7;16;1;8.2;1;4;4;0;1;3;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125045;21;1;0;20;1;9.5;1;1;1;0;1;3;0;3;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125047;19;0;0;24;1;12.4;1;2;0;0;1;1;1;1;0;0;0;0;1;0;1;1;1;1;0;1;0;0;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125053;39;0;4;140;4;69.9;3;4;9;0;2;4;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1251;125055;20;1;0;56;3;27.8;2;3;0;0;1;1;0;5;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;.206349206349206;242.307.692.307.692;242.307.692.307.692
1;2;9;251;1252;125111;32;1;2;40;2;19.2;1;1;3;0;1;2;1;4;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;.1875;266.666.666.666.667;266.666.666.666.667
1;2;9;251;1252;125116;28;0;3;41;2;21.1;1;4;1;0;1;4;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;.1875;266.666.666.666.667;266.666.666.666.667
1;2;9;251;1252;125121;41;1;4;65;3;33.1;2;1;13;0;2;5;1;5;0;1;1;0;0;0;1;1;1;1;0;0;0;0;1;.1875;266.666.666.666.667;266.666.666.666.667
1;2;9;251;1252;125128;34;0;5;55;3;27.4;2;2;6;0;2;1;1;4;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;.1875;266.666.666.666.667;266.666.666.666.667
